BANCO SANTANDER SA
BANK OF AMERICA CORP
BANK OF NEW YORK MELLON CORP
BARCLAYS PLC
BBVA
BNP PARIBAS
CANADIAN IMPERIAL BANK
CITIGROUP INC
CREDIT AGRICOLE SA
CREDIT SUISSE GROUP
DEUTSCHE BANK AG
GOLDMAN SACHS GROUP INC
HSBC HLDGS PLC
ING GROEP NV
JPMORGAN CHASE & CO
LLOYDS BANKING GROUP PLC
MORGAN STANLEY
NORDEA BANK AB
RAIFFEISEN INTL BANK HLDG AG
ROYAL BANK OF CANADA
ROYAL BANK OF SCOTLAND GROUP
SOCIETE GENERALE GROUP
STANDARD CHARTERED PLC
STATE STREET CORP
UBS AG
UNICREDIT SPA
WELLS FARGO & CO
NATIONAL BANK CANADA
BANK OF MONTREAL
TORONTO DOMINION BANK 
DEUTSCHE POSTBANK AG
CAIXABANK SA
BANKIA SA
BANKINTER
BANCO DE SABADELL SA
INVESTEC PLC 
INTESA SANPAOLO SPA 
BANCA MONTE DEI PASCHI SIENA
SWEDBANK AB
SKANDINAVISKA ENSKILDA BANK
SVENSKA HANDELSBANKEN
U S BANCORP
PNC FINANCIAL SVCS GROUP INC
SUNTRUST BANKS INC
BB&T CORP
HUNTINGTON BANCSHARES
M & T BANK CORP
KEYCORP
REGIONS FINANCIAL CORP
EAST WEST BANCORP INC
SVB FINANCIAL GROUP
FIFTH THIRD BANCORP
NORTHERN TRUST CORP
CITIZENS FINANCIAL GROUP INC
